# English Irregular Verbs
# Format: base_form present past past_participle
# One verb per line, tab-separated

be	am/is/are	was/were	been
have	has	had	had
do	does	did	done
say	says	said	said
go	goes	went	gone
get	gets	got	gotten
make	makes	made	made
know	knows	knew	known
think	thinks	thought	thought
take	takes	took	taken
see	sees	saw	seen
come	comes	came	come
want	wants	wanted	wanted
give	gives	gave	given
use	uses	used	used
find	finds	found	found
tell	tells	told	told
ask	asks	asked	asked
work	works	worked	worked
seem	seems	seemed	seemed
feel	feels	felt	felt
leave	leaves	left	left
put	puts	put	put
mean	means	meant	meant
keep	keeps	kept	kept
let	lets	let	let
begin	begins	began	begun
seem	seems	seemed	seemed
help	helps	helped	helped
show	shows	showed	shown
hear	hears	heard	heard
play	plays	played	played
run	runs	ran	run
move	moves	moved	moved
live	lives	lived	lived
believe	believes	believed	believed
bring	brings	brought	brought
happen	happens	happened	happened
write	writes	wrote	written
sit	sits	sat	sat
stand	stands	stood	stood
lose	loses	lost	lost
pay	pays	paid	paid
meet	meets	met	met
include	includes	included	included
continue	continues	continued	continued
set	sets	set	set
learn	learns	learned/learnt	learned/learnt
change	changes	changed	changed
lead	leads	led	led
understand	understands	understood	understood
watch	watches	watched	watched
follow	follows	followed	followed
stop	stops	stopped	stopped
create	creates	created	created
speak	speaks	spoke	spoken
read	reads	read	read
spend	spends	spent	spent
grow	grows	grew	grown
open	opens	opened	opened
walk	walks	walked	walked
win	wins	won	won
teach	teaches	taught	taught
offer	offers	offered	offered
remember	remembers	remembered	remembered
consider	considers	considered	considered
appear	appears	appeared	appeared
buy	buys	bought	bought
serve	serves	served	served
die	dies	died	died
send	sends	sent	sent
build	builds	built	built
stay	stays	stayed	stayed
fall	falls	fell	fallen
cut	cuts	cut	cut
reach	reaches	reached	reached
kill	kills	killed	killed
raise	raises	raised	raised
pass	passes	passed	passed
sell	sells	sold	sold
decide	decides	decided	decided
return	returns	returned	returned
explain	explains	explained	explained
hope	hopes	hoped	hoped
develop	develops	developed	developed
carry	carries	carried	carried
break	breaks	broke	broken
receive	receives	received	received
agree	agrees	agreed	agreed
support	supports	supported	supported
hit	hits	hit	hit
produce	produces	produced	produced
eat	eats	ate	eaten
cover	covers	covered	covered
catch	catches	caught	caught
draw	draws	drew	drawn
choose	chooses	chose	chosen
